New_Index,name,rental_way,size,toward,price,place
174,万达公馆,整租,4室2厅,南/北,14000,松桂园
175,路桥大厦,合租,5居室,南卧,618,韶山南路
176,湖南进出口公司宿舍,整租,2室1厅,东南,1680,马王堆
177,保利苑,合租,5居室,南卧,699,德政园
178,恒大御景半岛锦绣苑,整租,2室1厅,南,4000,湘江世纪城
179,金盆公寓,整租,3室2厅,南,3800,雨花亭
180,汇富中心,整租,1室0厅,南,1710,窑岭
181,嘉宇银杉,整租,2室1厅,南,1800,金星北
182,德思勤城市广场,整租,2室2厅,南,3500,德思勤
183,湘绣研究所宿舍北院,整租,3室1厅,南,2000,晚报
184,新楚天扶华庭,整租,3室2厅,南,4000,火车站
185,旭辉铂宸府,整租,3室2厅,东南,3000,雷锋镇
186,华远华中心,整租,4室2厅,南,17500,五一广场
187,太阳城,整租,1室1厅,南,1300,金星北
188,勤诚达新界,整租,5室2厅,南,1000,金星北
189,恒大文化旅游城B区,整租,1室1厅,南,1000,岳麓其他
190,华润置地广场二期,整租,1室1厅,北,1600,开元路
191,天健芙蓉盛世,整租,2室0厅,南,2000,伍家岭
192,盈峰翠邸,整租,5室2厅,南/北,5800,望城区
193,长燃润和悦公馆,整租,1室1厅,南,1700,金星北
194,天健芙蓉盛世,整租,1室0厅,南,1500,伍家岭
195,映客龙湖璟翠公馆,整租,2室1厅,南/北,1900,洋湖垸
196,东玺门,合租,5居室,南卧,850,马王堆
197,邦盛水岸御园,整租,3室1厅,南,2200,含浦
198,西子花苑,合租,5居室,南卧,710,高桥
199,明城国际中心,整租,1室1厅,南,1960,浏城桥
200,天健芙蓉盛世,整租,1室1厅,南,1800,伍家岭
201,长房天翼未来城,合租,4居室,南卧,750,左家塘
202,新城新世界一期,合租,5居室,南卧,763,树木岭
203,万国城MOMA三期,整租,3室2厅,南,3800,福元西路
204,达美寰宇中心,整租,2室1厅,南,3700,梅溪湖南岸
205,澳海望洲府,整租,3室2厅,南/北,1000,望城区
206,金叶公寓,合租,4居室,南卧,650,左家塘
207,金叶公寓,合租,4居室,南卧,700,左家塘
208,金蕾苑,合租,4居室,南卧,765,桂花村
209,复地滨江金融中心,整租,3室2厅,东,18800,观沙岭
210,玫瑰园,整租,3室2厅,南,1800,金星北
211,第六工程公司宿舍,合租,4居室,南卧,880,书院路
212,五一大道202,整租,1室1厅,东南,2000,松桂园
213,清控尖山湖,整租,4室2厅,南,3400,麓谷西
214,中交凤鸣九章,整租,4室2厅,南/北,2400,望城区
215,嘉宇中央,整租,4室2厅,南/北,3900,武广新城
216,市建委宿舍,合租,4居室,南卧,850,桂花村
217,顺天黄金海岸,合租,5居室,南卧,850,开福区政府
218,建发中央公园,整租,2室1厅,南,2000,雨花亭
219,黄鹤小区5片,合租,4居室,南卧,650,阳光100
220,保利东郡,整租,3室1厅,南/北,1800,星沙其他
221,启迪协信中心,整租,2室1厅,东,2500,观沙岭
222,爱家当代境MOMΛ,整租,2室1厅,南,2500,东方红
223,和泓梅溪四季,整租,2室2厅,南,2600,梅溪湖北岸
224,红旗区一片小区,整租,2室1厅,南,2100,东塘
225,湘诚德峰小区A区,整租,3室2厅,南/北,2800,金霞
226,金领家族,整租,1室1厅,南,1600,井湾子
227,金广星苑,整租,3室2厅,南/北,2200,星沙其他
228,旭日东升,整租,1室1厅,西南,1750,马王堆
229,珠江东方明珠,整租,4室2厅,南,2300,金星北
230,新城国际花都,整租,3室2厅,南/北,1700,望城区
231,梅溪盛荟,整租,3室2厅,南,2900,枫林三路
232,晟通城,整租,4室2厅,南,2000,望城区
233,湘府9号,合租,4居室,南卧,600,德思勤
234,保利香槟国际,整租,1室1厅,南,1400,万家丽北
235,安居乐商贸公寓,合租,4居室,南卧,980,马王堆
236,湘域相遇,整租,1室1厅,南,1850,火车站
237,安居乐商贸公寓,合租,4居室,南卧,1050,马王堆
238,中央美郡,整租,2室2厅,南,2400,金星中路
239,云集国际广场,整租,1室1厅,南,1495,韶山南路
240,万科金域华府,整租,2室1厅,南,2000,武广新城
241,广福园,合租,4居室,南卧,1000,开福区政府
242,建发央玺,整租,2室1厅,南,2578,雨花亭
243,贡院2期,整租,3室2厅,南,2000,德思勤
244,国泰九龙湾,整租,1室1厅,南,1400,松雅湖
245,上河国际A区,整租,2室1厅,东南,3300,高桥
246,北辰三角洲D2区,整租,3室2厅,南,4600,北辰三角洲
247,建发央玺,整租,2室1厅,南,2480,雨花亭
248,新时代广场,整租,1室1厅,南,1565,烈士公园
249,新力铂园,整租,3室2厅,南,5500,南郊公园
250,融科三万英尺,整租,1室1厅,南,1655,雨花亭
251,西长街,整租,2室1厅,南,2200,松桂园
252,北辰三角洲奥城E5区,整租,2室2厅,南,3499,北辰三角洲
253,紫薇苑,整租,3室2厅,复式,2400,树木岭
254,五矿万境水岸二期,整租,3室2厅,南/北,3480,喜盈门
255,荣盛花语书苑,整租,2室1厅,南,2400,黄土岭
256,达美D6区,整租,1室0厅,南,6800,汽车西站
257,乾城,整租,3室2厅,南,2800,黄土岭
258,周南生活园,整租,3室2厅,南,2300,金霞
259,润和国际广场,整租,1室1厅,南,1800,福元西路
260,北辰三角洲奥城E3区,整租,2室1厅,南,2700,北辰三角洲
261,华远华时代,整租,2室2厅,南,3600,烈士公园
262,珠江东方明珠,整租,3室2厅,南,2000,金星北
263,五矿万境水岸一期,整租,2室2厅,南,2300,喜盈门
264,龙湖翠湖壹号,整租,4室2厅,南/北,3000,望城区
265,佳兆业云顶都汇,整租,2室1厅,南,2097,武广新城
266,省外经委宿舍,整租,2室1厅,南,2000,东塘
267,金科时代中心,整租,1室1厅,南,1800,泉塘
268,橘洲新苑,整租,3室1厅,南/北,2100,观沙岭
269,凯通国际城,合租,4居室,南卧,850,火车站
